date;close;open;high;low
07/02/2017;5185.88;5178.85;5196.27;5174.34
08/02/2017;5196.58;5176.5;5201.57;5168.98
09/02/2017;5212.16;5200.17;5221.62;5196.07
10/02/2017;5226.69;5219.81;5234.27;5212.83
13/02/2017;5256.82;5242.49;5262.42;5241
14/02/2017;5271.07;5251.36;5271.1;5238.69
15/02/2017;5302.39;5266.12;5304.34;5264.44
16/02/2017;5300.64;5306.38;5316.79;5287.54
17/02/2017;5324.72;5295.49;5324.72;5291.7
20/02/2017;5324.72;5295.49;5324.72;5291.7
21/02/2017;5350.73;5334.57;5353.16;5330.47
22/02/2017;5352.13;5345.18;5354.73;5335.8
23/02/2017;5332.37;5358.03;5358.53;5309.99
24/02/2017;5343.31;5305.23;5343.31;5304.01
27/02/2017;5347.55;5330.56;5347.88;5322.14
28/02/2017;5330.31;5344.18;5347.47;5316.7
01/03/2017;5390.99;5368.65;5398.43;5355.38
02/03/2017;5363.26;5386.34;5387.73;5355.53
03/03/2017;5373.48;5355.21;5373.48;5344.48
06/03/2017;5360.31;5352.61;5368.27;5338.61
07/03/2017;5351.28;5348.2;5373.26;5341.43
08/03/2017;5359.81;5351.35;5375.77;5348.73
09/03/2017;5363.98;5355.78;5370.67;5336.08
10/03/2017;5385.9;5390.46;5394.66;5364.1
13/03/2017;5394.57;5387.73;5396.39;5382.02
14/03/2017;5382.17;5382.79;5384.88;5360.7
15/03/2017;5416.25;5392.48;5426.84;5375.88
16/03/2017;5412.08;5421.46;5423.66;5399.27
17/03/2017;5408.76;5413.47;5423.28;5406.81
20/03/2017;5413.31;5406.02;5426.47;5400.16
21/03/2017;5332.53;5433.28;5439.58;5328.71
22/03/2017;5367.56;5332.64;5372.27;5327.25
23/03/2017;5355.14;5356.71;5375.43;5346.3
24/03/2017;5364;5376.74;5392.28;5345.94
27/03/2017;5374.27;5320.96;5383.22;5316.02
28/03/2017;5407.21;5371.9;5422.25;5363.29
29/03/2017;5430.27;5410.14;5433.36;5405.1
30/03/2017;5439.74;5430.31;5446.51;5425.3
31/03/2017;5436.23;5430.99;5451.5;5427.5
03/04/2017;5432.2;5440.2;5453.44;5403.31
04/04/2017;5440.41;5415.53;5441.34;5415.3
05/04/2017;5418.52;5447.27;5479.86;5409.04
06/04/2017;5420.88;5423.65;5435.06;5407.87
07/04/2017;5418.37;5420.94;5434.18;5400.08
10/04/2017;5421.68;5423.57;5442.71;5406.58
11/04/2017;5398.4;5413.91;5422.79;5359.14
