date,JOPA3_open,JOPA3_high,JOPA3_low,JOPA3_close,JOPA3_tick_volume,JOPA3_spread,JOPA3_real_volume,JOPA4_open,JOPA4_high,JOPA4_low,JOPA4_close,JOPA4_tick_volume,JOPA4_spread,JOPA4_tick_volume,CGRA3_open,CGRA3_high,CGRA3_low,CGRA3_close,CGRA3_tick_volume,CGRA3_spread,CGRA3_tick_volume,CGRA4_open,CGRA4_high,CGRA4_low,CGRA4_close,CGRA4_tick_volume,CGRA4_spread,CGRA4_tick_volume,SLED3_open,SLED3_high,SLED3_low,SLED3_close,SLED3_tick_volume,SLED3_spread,SLED3_tick_volume
2018-08-14 14:34:00,18.45,18.45,18.45,18.45,2,1,400,18.32,18.32,18.32,18.32,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.73,10.73,10.73,10.73,1,1,1,308.65,308.65,308.65,308.65,2,1,2
2018-08-17 15:43:00,17.03,17.03,17.03,17.03,3,1,400,17.62,17.62,17.62,17.62,1.0,1.0,1.0,11.23,11.23,11.22,11.22,3,1,3,10.79,10.79,10.79,10.79,1,1,1,298.83,298.83,298.83,298.83,1,1,1
2018-08-21 13:07:00,17.65,17.65,17.65,17.65,1,1,100,17.62,17.62,17.62,17.62,2.0,1.0,2.0,11.22,11.45,11.22,11.45,6,1,6,10.85,10.85,10.85,10.85,1,1,1,294.56,294.56,294.56,294.56,1,1,1
2018-08-24 15:56:00,18.42,18.42,18.42,18.42,1,1,100,17.61,17.62,17.61,17.62,3.0,1.0,3.0,11.34,11.34,11.22,11.22,4,1,4,10.69,10.69,10.69,10.69,1,1,1,309.5,309.5,309.5,309.5,2,1,2
2018-08-31 17:05:00,17.5,17.5,17.5,17.5,4,1,8500,17.3,17.3,17.27,17.27,2.0,1.0,2.0,11.22,11.22,11.22,11.22,1,1,1,10.69,10.69,10.69,10.69,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-04 12:50:00,17.5,17.5,17.5,17.5,1,1,100,17.62,17.62,17.62,17.62,1.0,1.0,1.0,11.44,11.47,11.44,11.47,6,1,6,10.72,10.72,10.72,10.72,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-04 13:06:00,17.5,17.5,17.5,17.5,1,1,400,17.61,17.62,17.61,17.62,2.0,1.0,2.0,11.47,11.47,11.47,11.47,1,1,1,10.72,10.72,10.72,10.72,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-17 12:48:00,17.03,17.03,17.03,17.03,2,1,500,17.2,17.2,17.2,17.2,1.0,1.0,1.0,11.47,11.47,11.47,11.47,1,1,1,10.72,10.72,10.72,10.72,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-18 11:01:00,17.03,17.03,17.03,17.03,1,1,500,17.24,17.24,17.24,17.24,3.0,1.0,3.0,11.47,11.47,11.47,11.47,1,1,1,10.73,10.73,10.73,10.73,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-18 11:08:00,17.5,17.5,17.5,17.5,1,1,500,17.62,17.62,17.62,17.62,1.0,1.0,1.0,11.46,11.46,11.46,11.46,1,1,1,10.73,10.73,10.73,10.73,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-18 11:29:00,17.5,17.5,17.5,17.5,1,1,500,17.24,17.24,17.24,17.24,1.0,1.0,1.0,11.25,11.25,11.22,11.22,6,1,6,10.73,10.73,10.73,10.73,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-18 11:33:00,17.5,17.5,17.5,17.5,1,1,500,17.27,17.27,17.27,17.27,1.0,1.0,1.0,11.37,11.37,11.37,11.37,1,1,1,10.69,10.69,10.64,10.64,5,1,5,309.5,309.5,309.5,309.5,1,1,1
2018-09-18 11:37:00,17.5,17.5,17.5,17.5,1,1,1000,16.91,16.91,16.21,16.21,2.0,1.0,2.0,11.37,11.37,11.37,11.37,1,1,1,10.64,10.64,10.64,10.64,1,1,1,309.5,309.5,309.5,309.5,1,1,1
2018-09-18 11:38:00,17.5,17.5,17.5,17.5,1,1,1000,15.15,15.15,15.15,15.15,1.0,1.0,1.0,11.37,11.37,11.37,11.37,4,1,4,10.64,10.64,10.61,10.61,3,1,3,309.5,309.5,309.5,309.5,1,1,1
2018-09-18 11:44:00,17.03,17.5,17.03,17.5,4,1,4000,15.15,15.15,15.15,15.15,1.0,1.0,1.0,11.23,11.23,11.22,11.22,3,1,3,10.64,10.64,10.64,10.64,1,1,1,277.49,277.49,277.49,277.49,1,1,1
2018-09-18 12:46:00,17.45,17.45,17.45,17.45,5,1,31000,14.09,14.09,14.09,14.09,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.67,10.67,10.67,10.67,1,1,1,256.14,256.14,256.14,256.14,1,1,1
2018-09-18 12:47:00,17.5,17.5,17.5,17.5,1,1,200,14.02,14.02,14.02,14.02,1.0,1.0,1.0,11.19,11.19,11.19,11.19,2,1,2,10.76,10.76,10.76,10.76,2,1,2,262.06,262.06,262.06,262.06,1,1,1
2018-09-18 12:49:00,17.5,17.5,17.5,17.5,1,1,1300,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.75,10.75,10.75,10.75,1,1,1,227.88,227.88,227.88,227.88,1,1,1
2018-09-20 12:23:00,17.5,17.5,17.5,17.5,1,1,500,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.76,10.76,10.76,10.76,1,1,1,227.88,227.88,227.88,227.88,1,1,1
2018-09-20 12:25:00,17.5,17.5,17.5,17.5,1,1,500,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.76,10.76,10.76,10.76,1,1,1,216.48,216.48,216.48,216.48,1,1,1
2018-09-20 12:27:00,17.5,17.5,17.5,17.5,1,1,1000,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.22,11.22,11.22,11.22,3,1,3,10.76,10.76,10.76,10.76,1,1,1,216.48,216.48,216.48,216.48,1,1,1
2018-09-20 12:28:00,17.5,17.5,17.5,17.5,1,1,1000,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.15,11.15,11.15,11.15,1,1,1,10.76,10.76,10.76,10.76,3,1,3,216.48,216.48,216.48,216.48,2,1,2
2018-09-20 12:29:00,17.5,17.5,17.5,17.5,1,1,1000,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.15,11.15,11.15,11.15,1,1,1,10.76,10.76,10.76,10.76,1,1,1,262.06,262.06,262.06,262.06,3,1,3
2018-09-20 12:30:00,17.5,17.5,17.5,17.5,1,1,1000,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.15,11.15,11.15,11.15,1,1,1,10.65,10.65,10.61,10.61,5,1,5,250.66,250.66,205.09,205.09,4,1,4
2018-09-24 10:53:00,17.5,17.5,17.5,17.5,1,1,1000,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.15,11.15,11.15,11.15,1,1,1,10.76,10.76,10.76,10.76,1,1,1,205.09,205.09,205.09,205.09,1,1,1
2018-09-24 10:54:00,17.5,17.5,17.5,17.5,1,1,4000,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.15,11.15,11.15,11.15,1,1,1,10.76,10.76,10.76,10.76,1,1,1,205.09,205.09,205.09,205.09,1,1,1
2018-09-25 11:30:00,17.5,17.5,17.5,17.5,4,1,15900,13.39,13.39,13.39,13.39,4.0,1.0,4.0,11.15,11.15,10.97,10.97,10,1,10,10.76,10.76,10.76,10.76,1,1,1,205.09,205.09,205.09,205.09,1,1,1
2018-09-26 17:00:00,17.5,17.5,17.5,17.5,1,1,4900,13.39,13.39,13.39,13.39,1.0,1.0,1.0,10.84,10.84,10.84,10.84,1,1,1,10.73,10.73,10.73,10.73,1,1,1,205.09,205.09,205.09,205.09,1,1,1
2018-09-27 17:00:00,17.5,17.5,17.5,17.5,1,1,3200,13.39,13.39,13.39,13.39,1.0,1.0,1.0,10.84,10.84,10.84,10.84,2,1,2,10.62,10.62,10.62,10.62,1,1,1,204.86,204.86,204.86,204.86,1,1,1
2018-10-02 16:30:00,17.97,17.97,17.97,17.97,1,1,100,13.53,13.53,13.53,13.53,1.0,1.0,1.0,11.02,11.09,11.02,11.09,4,1,4,10.64,10.64,10.64,10.64,2,1,2,170.91,170.91,170.91,170.91,2,1,2
2018-10-25 10:38:00,19.87,19.87,19.87,19.87,1,1,100,12.68,12.68,12.68,12.68,1.0,1.0,1.0,10.84,10.84,10.84,10.84,1,1,1,10.76,10.76,10.76,10.76,1,1,1,170.91,170.91,170.91,170.91,1,1,1
2018-11-09 12:50:00,21.76,21.76,21.76,21.76,1,1,100,11.29,11.29,11.29,11.29,5.0,1.0,5.0,10.84,10.84,10.84,10.84,1,1,1,10.67,10.67,10.67,10.67,1,1,1,170.91,170.91,170.91,170.91,1,1,1
2018-11-16 18:10:00,21.76,21.76,21.76,21.76,1,1,500,11.3,11.3,11.3,11.3,1.0,1.0,1.0,10.84,10.84,10.84,10.84,1,1,1,10.61,10.61,10.61,10.61,1,1,1,170.91,170.91,170.91,170.91,1,1,1
