date,ESGU11_open,ESGU11_high,ESGU11_low,ESGU11_close,ESGU11_tick_volume,ESGU11_spread,ESGU11_real_volume,ELAS11_open,ELAS11_high,ELAS11_low,ELAS11_close,ELAS11_tick_volume,ELAS11_spread,ELAS11_tick_volume,HASH11_open,HASH11_high,HASH11_low,HASH11_close,HASH11_tick_volume,HASH11_spread,HASH11_tick_volume,BITH11_open,BITH11_high,BITH11_low,BITH11_close,BITH11_tick_volume,BITH11_spread,BITH11_tick_volume,CRPT11_open,CRPT11_high,CRPT11_low,CRPT11_close,CRPT11_tick_volume,CRPT11_spread,CRPT11_tick_volume
2022-03-04 13:17:00,8.28,8.28,8.28,8.28,1,1,1,99.98,100.03,99.98,100.02,5,1,5,61.0,61.03,61.0,61.02,12,1,12,52.6,52.6,52.6,52.6,6,1,6,8.39,8.39,8.39,8.39,1,1,1
2022-03-04 15:08:00,8.31,8.31,8.31,8.31,1,1,1,100.0,100.0,99.96,99.98,5,1,5,61.03,61.03,60.93,60.94,23,1,23,52.6,52.6,52.5,52.5,7,1,7,8.55,8.55,8.55,8.55,1,1,1
2022-03-04 16:57:00,8.31,8.31,8.31,8.31,1,1,1,100.0,100.0,99.98,99.99,5,1,5,60.94,60.94,60.88,60.91,21,1,21,52.5,52.5,52.5,52.5,1,1,1,8.55,8.55,8.55,8.55,3,1,3
2022-03-04 16:58:00,8.31,8.31,8.31,8.31,1,1,1,99.97,99.97,99.95,99.95,4,1,4,60.94,60.97,60.83,60.83,12,1,12,52.48,52.48,52.0,52.0,18,1,18,8.55,8.55,8.55,8.55,1,1,1
2022-03-04 16:59:00,8.3,8.3,8.3,8.3,1,1,1,99.96,100.02,99.96,100.02,5,1,5,60.81,60.81,60.75,60.76,15,1,15,52.0,52.0,52.0,52.0,1,1,1,8.39,8.5,8.39,8.5,2,1,2
2022-03-04 17:45:00,8.28,8.32,8.28,8.32,3,1,783807,100.03,100.2,100.03,100.17,5,1,5,60.8,60.82,60.77,60.81,14,1,14,52.0,52.0,52.0,52.0,1,1,1,8.8,8.8,8.5,8.5,8,1,8
2022-03-07 18:15:00,8.12,8.12,8.12,8.12,2,1,635300,100.16,100.17,100.14,100.14,5,1,5,60.8,60.86,60.8,60.86,6,1,6,52.0,52.0,52.0,52.0,1,1,1,8.82,8.82,8.82,8.82,2,1,2
2022-03-08 14:13:00,8.12,8.12,8.0,8.0,3,1,349202,100.14,100.15,100.13,100.15,5,1,5,60.87,60.93,60.87,60.93,3,1,3,52.1,52.2,52.1,52.2,4,1,4,8.83,8.83,8.83,8.83,1,1,1
2022-03-09 13:26:00,8.06,8.14,8.06,8.14,3,1,803302,100.22,100.22,100.17,100.2,6,1,6,60.96,60.96,60.91,60.95,10,1,10,52.2,52.79,52.2,52.5,20,1,20,8.83,8.83,8.83,8.83,1,1,1
2022-03-10 11:54:00,8.11,8.11,8.11,8.11,1,1,300,100.2,100.26,99.75,99.75,5,1,5,60.96,60.96,60.91,60.91,6,1,6,52.45,52.45,52.45,52.45,2,1,2,8.67,8.67,8.67,8.67,1,1,1
