date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,TRIG11_open,TRIG11_high,TRIG11_low,TRIG11_close,TRIG11_tick_volume,TRIG11_spread,TRIG11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume
2021-09-24 16:02:00,8.91,8.91,8.91,8.91,1,1,68,,,,,,,,44.16,44.16,44.16,44.16,1.0,1.0,1.0,283.39,283.47,283.27,283.43,35,1,35,10.26,10.26,10.26,10.26,1.0,1.0,1.0
2021-09-24 16:03:00,8.96,8.96,8.96,8.96,1,1,22,,,,,,,,44.26,44.26,44.26,44.26,1.0,1.0,1.0,283.43,283.46,283.17,283.29,49,1,49,10.26,10.27,10.26,10.27,3.0,1.0,3.0
2021-09-24 16:18:00,8.97,8.97,8.97,8.97,2,1,7900,,,,,,,,44.3,44.3,44.3,44.3,1.0,1.0,1.0,283.27,283.27,283.15,283.2,24,1,24,10.27,10.27,10.27,10.27,1.0,1.0,1.0
2021-09-24 16:51:00,8.97,8.97,8.93,8.93,3,1,4010,,,,,,,,44.26,44.26,44.26,44.26,1.0,1.0,1.0,283.18,283.2,283.0,283.1,37,1,37,10.27,10.27,10.27,10.27,1.0,1.0,1.0
2021-09-27 10:30:00,8.93,8.93,8.93,8.93,1,1,23,,,,,,,,44.03,44.03,44.0,44.0,2.0,1.0,2.0,283.1,283.17,282.96,283.16,48,1,48,10.33,10.33,10.33,10.33,1.0,1.0,1.0
2021-09-27 10:38:00,8.88,8.88,8.86,8.86,2,1,4000,,,,,,,,43.99,43.99,43.99,43.99,1.0,1.0,1.0,283.15,283.16,282.97,283.16,21,1,21,10.27,10.27,10.27,10.27,1.0,1.0,1.0
2021-09-27 10:57:00,8.87,8.87,8.87,8.87,1,1,100,,,,,,,,43.87,43.87,43.87,43.87,1.0,1.0,1.0,283.03,283.16,282.92,283.16,65,1,65,10.24,10.24,10.24,10.24,1.0,1.0,1.0
2021-09-27 11:10:00,8.94,8.94,8.94,8.94,1,1,1,,,,,,,,44.13,44.13,44.13,44.13,1.0,1.0,1.0,283.16,283.16,282.92,282.92,64,1,64,10.24,10.24,10.24,10.24,1.0,1.0,1.0
2021-09-27 11:26:00,8.93,8.93,8.93,8.93,1,1,1,,,,,,,,44.13,44.13,44.13,44.13,1.0,1.0,1.0,282.98,283.15,282.79,282.8,30,1,30,10.25,10.25,10.25,10.25,1.0,1.0,1.0
2021-09-27 11:33:00,8.93,8.93,8.93,8.93,1,1,34,,,,,,,,44.27,44.27,44.27,44.27,1.0,1.0,1.0,282.78,282.93,282.77,282.88,14,1,14,10.25,10.25,10.25,10.25,1.0,1.0,1.0
2021-09-27 11:35:00,8.98,9.1,8.98,9.1,6,1,150,,,,,,,,44.23,44.23,44.23,44.23,1.0,1.0,1.0,282.89,282.89,282.84,282.89,11,1,11,10.3,10.3,10.3,10.3,1.0,1.0,1.0
2021-09-27 11:38:00,8.84,8.84,8.83,8.83,4,1,42,,,,,,,,44.02,44.02,44.02,44.02,1.0,1.0,1.0,282.92,282.92,282.73,282.73,26,1,26,10.25,10.25,10.25,10.25,1.0,1.0,1.0
2021-09-27 11:43:00,8.85,8.85,8.85,8.85,2,1,72,,,,,,,,44.01,44.01,44.01,44.01,1.0,1.0,1.0,282.75,282.75,282.52,282.63,24,1,24,10.28,10.28,10.28,10.28,1.0,1.0,1.0
2021-09-27 11:53:00,8.82,8.82,8.73,8.73,4,1,56,,,,,,,,44.01,44.01,43.99,43.99,3.0,1.0,3.0,282.5,282.57,282.31,282.31,32,1,32,10.25,10.25,10.25,10.25,1.0,1.0,1.0
2021-09-27 11:58:00,8.88,8.88,8.88,8.88,1,1,38,,,,,,,,44.24,44.24,44.24,44.24,1.0,1.0,1.0,282.31,282.49,282.3,282.49,18,1,18,10.25,10.26,10.25,10.26,2.0,1.0,2.0
