date,GENB11_open,GENB11_high,GENB11_low,GENB11_close,GENB11_tick_volume,GENB11_spread,GENB11_real_volume,SVAL11_open,SVAL11_high,SVAL11_low,SVAL11_close,SVAL11_tick_volume,SVAL11_spread,SVAL11_tick_volume,HTEK11_open,HTEK11_high,HTEK11_low,HTEK11_close,HTEK11_tick_volume,HTEK11_spread,HTEK11_tick_volume,MILL11_open,MILL11_high,MILL11_low,MILL11_close,MILL11_tick_volume,MILL11_spread,MILL11_tick_volume,SHOT11_open,SHOT11_high,SHOT11_low,SHOT11_close,SHOT11_tick_volume,SHOT11_spread,SHOT11_tick_volume
2022-07-25 10:44:00,7.11,7.11,7.11,7.11,1,1,10,,,,,,,,57.68,57.68,57.6,57.6,3,1,3,61.63,61.63,61.63,61.63,1,1,1,48.4,48.4,48.4,48.4,2,1,2
2022-07-25 13:48:00,7.09,7.09,7.09,7.09,1,1,1,,,,,,,,57.67,57.67,57.67,57.67,1,1,1,61.64,61.64,61.64,61.64,1,1,1,48.34,48.34,48.34,48.34,1,1,1
2022-07-25 14:45:00,7.04,7.04,7.04,7.04,1,1,1,,,,,,,,57.65,57.88,57.65,57.88,2,1,2,61.5,61.5,61.5,61.5,1,1,1,48.35,48.35,48.35,48.35,2,1,2
2022-07-25 15:18:00,6.98,6.98,6.98,6.98,2,1,2,,,,,,,,56.59,56.59,56.58,56.58,2,1,2,61.19,61.19,61.18,61.18,2,1,2,48.35,48.36,48.35,48.36,2,1,2
2022-07-25 16:47:00,7.0,7.0,6.9,6.9,2,1,39,,,,,,,,57.75,57.76,57.75,57.76,2,1,2,61.13,61.13,61.13,61.13,1,1,1,48.33,48.33,48.33,48.33,2,1,2
2022-07-26 11:25:00,7.04,7.04,7.04,7.04,1,1,5,,,,,,,,57.67,57.67,57.67,57.67,1,1,1,61.23,61.23,61.23,61.23,1,1,1,48.31,48.31,48.31,48.31,2,1,2
2022-07-26 11:26:00,7.04,7.04,7.04,7.04,1,1,5,,,,,,,,57.66,57.66,57.66,57.66,1,1,1,61.3,61.3,61.3,61.3,1,1,1,48.3,48.3,48.3,48.3,1,1,1
2022-07-26 11:45:00,6.89,6.89,6.89,6.89,1,1,11,,,,,,,,57.78,57.78,57.78,57.78,1,1,1,61.3,61.3,61.3,61.3,1,1,1,48.3,48.3,48.28,48.28,2,1,2
2022-07-26 11:47:00,6.91,6.91,6.9,6.9,2,1,22,,,,,,,,57.78,57.78,57.78,57.78,1,1,1,60.75,61.52,60.75,61.52,2,1,2,48.32,48.32,48.32,48.32,1,1,1
2022-07-26 12:06:00,6.89,6.89,6.89,6.89,1,1,11,,,,,,,,57.75,57.75,57.75,57.75,1,1,1,60.77,60.77,60.61,60.61,53,1,53,48.29,48.29,48.29,48.29,1,1,1
2022-07-26 12:17:00,6.9,6.9,6.9,6.9,1,1,11,,,,,,,,57.66,57.66,57.66,57.66,1,1,1,60.48,60.48,60.48,60.48,2,1,2,48.31,48.31,48.31,48.31,1,1,1
2022-07-26 12:18:00,6.9,6.93,6.9,6.91,3,1,33,,,,,,,,57.85,57.85,57.85,57.85,1,1,1,60.71,60.71,60.62,60.62,7,1,7,48.32,48.32,48.32,48.32,1,1,1
2022-07-26 12:24:00,6.89,6.89,6.84,6.84,2,1,32,,,,,,,,57.84,58.09,57.84,58.09,2,1,2,60.61,60.61,60.54,60.54,8,1,8,48.31,48.31,48.31,48.31,1,1,1
2022-07-26 13:02:00,6.89,6.89,6.89,6.89,1,1,22,,,,,,,,58.04,58.05,58.04,58.05,2,1,2,60.54,60.56,60.52,60.52,8,1,8,48.33,48.33,48.32,48.32,2,1,2
2022-07-26 13:20:00,6.88,6.88,6.88,6.88,1,1,1,,,,,,,,58.04,59.18,58.04,59.18,3,1,3,60.54,60.54,60.46,60.48,14,1,14,48.32,48.32,48.32,48.32,2,1,2
2022-07-26 13:45:00,6.82,6.82,6.82,6.82,1,1,11,,,,,,,,59.99,59.99,59.99,59.99,3,1,3,60.49,60.49,60.49,60.49,1,1,1,48.29,48.29,48.29,48.29,2,1,2
2022-07-26 14:02:00,6.87,6.87,6.87,6.87,1,1,32,,,,,,,,59.5,59.5,59.5,59.5,1,1,1,60.29,60.29,60.29,60.29,1,1,1,48.28,48.28,48.28,48.28,1,1,1
2022-07-26 14:03:00,6.87,6.87,6.87,6.87,1,1,11,,,,,,,,59.99,59.99,59.99,59.99,1,1,1,60.29,60.29,60.29,60.29,1,1,1,48.26,48.26,48.24,48.24,3,1,3
2022-07-26 14:07:00,6.85,6.85,6.85,6.85,1,1,1,,,,,,,,60.05,60.05,60.05,60.05,2,1,2,60.22,60.22,60.22,60.22,1,1,1,48.27,48.27,48.27,48.27,1,1,1
2022-07-26 14:42:00,6.83,6.83,6.83,6.83,1,1,10,,,,,,,,60.05,60.05,60.05,60.05,1,1,1,60.21,60.21,60.21,60.21,1,1,1,48.26,48.26,48.25,48.25,3,1,3
2022-07-26 15:05:00,6.85,6.85,6.85,6.85,1,1,1,,,,,,,,60.05,60.05,60.05,60.05,2,1,2,60.59,60.59,60.59,60.59,1,1,1,48.27,48.27,48.26,48.26,2,1,2
2022-07-26 16:46:00,6.84,6.84,6.84,6.84,1,1,1,,,,,,,,58.23,58.23,58.23,58.23,1,1,1,60.79,60.79,60.79,60.79,1,1,1,48.27,48.27,48.27,48.27,1,1,1
2022-07-27 12:52:00,6.98,6.98,6.98,6.98,1,1,3,,,,,,,,58.35,58.35,58.35,58.35,2,1,2,60.13,60.98,60.13,60.98,2,1,2,48.25,48.25,48.25,48.25,2,1,2
2022-07-27 13:25:00,6.99,6.99,6.99,6.99,1,1,1,,,,,,,,58.26,58.26,57.91,57.93,6,1,6,60.0,60.0,60.0,60.0,1,1,1,48.22,48.22,48.22,48.22,2,1,2
2022-07-28 11:08:00,6.87,6.87,6.87,6.87,1,1,1,,,,,,,,57.72,57.72,57.72,57.72,1,1,1,61.0,61.0,61.0,61.0,1,1,1,48.26,48.26,48.26,48.26,1,1,1
2022-07-28 11:20:00,6.87,6.87,6.87,6.87,1,1,1,,,,,,,,57.46,57.46,57.46,57.46,1,1,1,60.83,60.83,60.83,60.83,1,1,1,48.3,48.3,48.29,48.29,2,1,2
2022-07-28 13:22:00,6.93,6.93,6.93,6.93,1,1,2,,,,,,,,57.46,57.46,57.46,57.46,1,1,1,60.89,60.89,60.89,60.89,1,1,1,48.33,48.33,48.33,48.33,2,1,2
2022-07-28 14:58:00,6.99,6.99,6.99,6.99,1,1,10,,,,,,,,57.43,57.43,57.43,57.43,1,1,1,60.89,60.89,60.89,60.89,1,1,1,48.36,48.36,48.36,48.36,2,1,2
2022-07-28 16:49:00,6.86,6.86,6.86,6.86,3,1,7,,,,,,,,57.44,57.44,57.44,57.44,1,1,1,60.72,60.72,60.72,60.72,1,1,1,48.36,48.36,48.34,48.34,2,1,2
2022-07-29 12:20:00,6.98,6.98,6.98,6.98,1,1,1,,,,,,,,57.58,57.58,57.58,57.58,1,1,1,60.6,60.6,60.6,60.6,1,1,1,48.39,48.39,48.39,48.39,1,1,1
2022-07-29 12:21:00,6.99,6.99,6.99,6.99,1,1,16,,,,,,,,57.37,57.37,57.37,57.37,1,1,1,60.61,60.61,60.6,60.6,2,1,2,48.38,48.38,48.37,48.37,3,1,3
2022-07-29 15:07:00,7.05,7.05,7.05,7.05,1,1,1,,,,,,,,57.35,57.35,57.35,57.35,1,1,1,60.62,60.62,60.62,60.62,1,1,1,48.36,48.36,48.36,48.36,2,1,2
2022-07-29 15:20:00,7.06,7.06,7.06,7.06,1,1,1,,,,,,,,57.25,57.25,57.25,57.25,1,1,1,60.54,60.54,60.54,60.54,1,1,1,48.36,48.36,48.36,48.36,1,1,1
2022-07-29 16:34:00,7.03,7.03,7.03,7.03,1,1,250,,,,,,,,56.17,56.17,56.17,56.17,1,1,1,60.81,60.81,60.81,60.81,1,1,1,48.35,48.35,48.35,48.35,3,1,3
2022-07-29 16:39:00,7.06,7.06,7.06,7.06,1,1,10,,,,,,,,56.61,56.61,56.61,56.61,1,1,1,60.8,60.8,60.8,60.8,1,1,1,48.34,48.34,48.34,48.34,1,1,1
2022-07-29 16:54:00,7.01,7.01,7.01,7.01,1,1,1,,,,,,,,56.63,56.63,56.63,56.63,1,1,1,61.24,61.24,61.24,61.24,1,1,1,48.32,48.32,48.31,48.31,3,1,3
2022-08-01 14:28:00,7.02,7.02,7.02,7.02,1,1,1,,,,,,,,56.63,56.63,56.63,56.63,1,1,1,61.38,61.38,61.38,61.38,1,1,1,48.4,48.5,48.4,48.5,2,1,2
2022-08-02 10:54:00,7.02,7.02,7.02,7.02,1,1,1,,,,,,,,56.63,56.63,56.63,56.63,1,1,1,61.38,61.38,61.38,61.38,1,1,1,48.59,48.6,48.5,48.5,4,1,4
2022-08-02 12:59:00,7.12,7.12,7.12,7.12,1,1,12,,,,,,,,57.52,57.52,57.52,57.52,1,1,1,61.02,61.02,61.02,61.02,1,1,1,48.99,48.99,48.99,48.99,2,1,2
2022-08-02 13:10:00,7.14,7.14,7.14,7.14,1,1,3,,,,,,,,57.57,57.57,57.57,57.57,1,1,1,62.0,62.0,62.0,62.0,1,1,1,48.99,48.99,48.99,48.99,1,1,1
