date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume,SPXI11_open,SPXI11_high,SPXI11_low,SPXI11_close,SPXI11_tick_volume,SPXI11_spread,SPXI11_tick_volume
2022-07-13 12:54:00,6.23,6.23,6.23,6.23,4,1,33,,,,,,,,294.41,294.44,294.41,294.44,2,1,2,,,,,,,,181.05,181.05,181.05,181.05,1,1,1
2022-07-13 12:59:00,6.22,6.22,6.22,6.22,1,1,1,,,,,,,,294.59,294.59,294.59,294.59,1,1,1,,,,,,,,181.32,181.32,181.32,181.32,1,1,1
2022-07-13 13:00:00,6.22,6.22,6.22,6.22,1,1,1,,,,,,,,294.44,294.62,294.44,294.62,19,1,19,,,,,,,,181.0,181.0,181.0,181.0,2,1,2
2022-07-13 13:08:00,6.23,6.23,6.23,6.23,1,1,1,,,,,,,,294.6,294.62,294.5,294.5,5,1,5,,,,,,,,180.6,180.6,180.51,180.51,3,1,3
2022-07-13 13:09:00,6.24,6.24,6.24,6.24,5,1,55,,,,,,,,294.55,294.55,294.41,294.41,10,1,10,,,,,,,,180.31,180.31,180.31,180.31,4,1,4
2022-07-13 13:12:00,6.22,6.22,6.22,6.22,7,1,65,,,,,,,,294.28,294.46,294.28,294.29,4,1,4,,,,,,,,180.0,180.0,180.0,180.0,1,1,1
2022-07-13 13:17:00,6.22,6.22,6.22,6.22,1,1,3,,,,,,,,294.43,294.43,294.21,294.21,5,1,5,,,,,,,,179.34,179.34,179.34,179.34,1,1,1
2022-07-13 13:30:00,6.23,6.23,6.23,6.23,1,1,1,,,,,,,,294.21,294.45,294.21,294.45,3,1,3,,,,,,,,179.15,179.15,179.15,179.15,1,1,1
2022-07-13 13:34:00,6.23,6.23,6.23,6.23,1,1,1,,,,,,,,294.78,294.88,294.78,294.88,3,1,3,,,,,,,,179.51,179.51,179.51,179.51,1,1,1
2022-07-13 13:36:00,6.23,6.23,6.23,6.23,2,1,31,,,,,,,,294.55,294.55,294.55,294.55,1,1,1,,,,,,,,179.53,179.53,179.53,179.53,1,1,1
2022-07-13 13:38:00,6.23,6.23,6.23,6.23,3,1,3,,,,,,,,294.44,294.44,294.42,294.44,7,1,7,,,,,,,,178.99,179.0,178.92,178.92,5,1,5
2022-07-13 13:48:00,6.23,6.23,6.23,6.23,4,1,5,,,,,,,,294.62,294.66,294.48,294.66,4,1,4,,,,,,,,178.78,178.78,178.78,178.78,1,1,1
2022-07-13 13:49:00,6.25,6.25,6.25,6.25,1,1,25,,,,,,,,294.68,294.68,294.66,294.66,2,1,2,,,,,,,,178.83,178.83,178.83,178.83,1,1,1
2022-07-13 13:50:00,6.24,6.24,6.24,6.24,18,1,1601,,,,,,,,294.47,294.47,294.45,294.45,8,1,8,,,,,,,,178.78,179.66,178.78,179.66,7,1,7
2022-07-13 13:53:00,6.24,6.24,6.24,6.24,1,1,1,,,,,,,,294.44,294.53,294.34,294.34,8,1,8,,,,,,,,179.59,179.59,179.59,179.59,2,1,2
2022-07-13 13:54:00,6.24,6.24,6.24,6.24,1,1,1,,,,,,,,294.51,294.51,294.5,294.51,4,1,4,,,,,,,,179.52,179.52,179.52,179.52,1,1,1
2022-07-13 13:55:00,6.24,6.24,6.24,6.24,3,1,4,,,,,,,,294.51,294.56,294.41,294.56,4,1,4,,,,,,,,179.52,179.66,179.52,179.66,6,1,6
2022-07-13 13:56:00,6.24,6.24,6.24,6.24,3,1,201,,,,,,,,294.55,294.59,294.55,294.58,5,1,5,,,,,,,,179.66,179.66,179.66,179.66,1,1,1
2022-07-13 13:57:00,6.24,6.24,6.24,6.24,118,1,11497,,,,,,,,294.58,294.58,294.42,294.42,3,1,3,,,,,,,,180.19,180.23,180.19,180.23,4,1,4
