date,META11_open,META11_high,META11_low,META11_close,META11_tick_volume,META11_spread,META11_real_volume,ETHE11_open,ETHE11_high,ETHE11_low,ETHE11_close,ETHE11_tick_volume,ETHE11_spread,ETHE11_tick_volume,WEB311_open,WEB311_high,WEB311_low,WEB311_close,WEB311_tick_volume,WEB311_spread,WEB311_tick_volume,NFTS11_open,NFTS11_high,NFTS11_low,NFTS11_close,NFTS11_tick_volume,NFTS11_spread,NFTS11_tick_volume,BLOK11_open,BLOK11_high,BLOK11_low,BLOK11_close,BLOK11_tick_volume,BLOK11_spread,BLOK11_tick_volume
2022-09-21 15:26:00,43.1,43.1,43.0,43.0,3,1,68,60.94,60.94,60.94,60.94,1,1,1,20.5,20.5,20.39,20.39,5,1,5,40.5,40.5,40.5,40.5,1,1,1,,,,,,,
2022-09-21 16:43:00,43.0,43.0,43.0,43.0,1,1,10,60.94,60.94,60.94,60.94,1,1,1,20.94,20.94,20.94,20.94,1,1,1,40.5,40.5,40.5,40.5,1,1,1,,,,,,,
2022-09-22 10:05:00,43.0,43.0,43.0,43.0,1,1,1,60.95,60.95,60.95,60.95,2,1,2,20.91,20.91,20.91,20.91,1,1,1,40.49,40.49,40.49,40.49,1,1,1,,,,,,,
2022-09-22 10:55:00,43.0,43.0,43.0,43.0,1,1,1,60.95,60.99,60.95,60.99,2,1,2,20.91,20.91,20.91,20.91,1,1,1,40.49,40.5,40.49,40.5,2,1,2,,,,,,,
2022-09-22 11:47:00,43.0,43.0,43.0,43.0,2,1,4,61.03,61.1,61.03,61.1,2,1,2,20.51,20.51,20.43,20.43,2,1,2,40.5,40.5,40.5,40.5,1,1,1,,,,,,,
2022-09-22 11:51:00,42.88,42.88,42.88,42.88,1,1,6,61.01,61.01,61.01,61.01,1,1,1,20.43,20.43,20.43,20.43,1,1,1,40.48,40.48,40.48,40.48,1,1,1,,,,,,,
2022-09-22 12:10:00,42.88,42.88,42.88,42.88,1,1,1,61.05,61.11,60.93,61.11,10,1,10,20.38,20.38,20.33,20.33,3,1,3,40.2,40.2,40.2,40.2,1,1,1,,,,,,,
2022-09-22 12:23:00,42.88,42.88,42.88,42.88,1,1,3,61.06,61.06,61.06,61.06,1,1,1,20.27,20.27,20.27,20.27,1,1,1,40.2,40.2,40.2,40.2,2,1,2,,,,,,,
2022-09-22 12:49:00,43.51,43.51,43.51,43.51,1,1,1,60.98,60.99,60.98,60.99,6,1,6,20.27,20.27,20.27,20.27,1,1,1,38.1,38.1,38.1,38.1,1,1,1,,,,,,,
2022-09-22 13:57:00,43.51,43.51,43.51,43.51,1,1,1,60.98,60.99,60.96,60.96,4,1,4,20.26,20.26,20.26,20.26,1,1,1,38.15,38.15,38.15,38.15,1,1,1,,,,,,,
2022-09-22 14:31:00,43.51,43.51,43.51,43.51,1,1,4,61.0,61.0,61.0,61.0,1,1,1,20.37,20.37,20.37,20.37,1,1,1,39.15,40.2,39.15,40.2,2,1,2,,,,,,,
2022-09-22 14:33:00,42.99,42.99,42.99,42.99,1,1,1,60.98,61.0,60.86,60.96,8,1,8,20.4,20.4,20.4,20.4,1,1,1,38.1,38.1,38.1,38.1,1,1,1,,,,,,,
2022-09-22 15:13:00,42.99,42.99,42.99,42.99,1,1,1,60.83,60.96,60.82,60.86,4,1,4,20.41,20.41,20.41,20.41,1,1,1,40.19,40.19,40.19,40.19,1,1,1,,,,,,,
2022-09-22 15:46:00,43.0,43.0,43.0,43.0,1,1,1,60.95,60.95,60.95,60.95,1,1,1,20.41,20.41,20.4,20.4,2,1,2,40.15,40.15,40.15,40.15,1,1,1,,,,,,,
2022-09-22 15:56:00,42.99,42.99,42.99,42.99,1,1,1,60.92,60.92,60.8,60.8,4,1,4,20.38,20.38,20.38,20.38,1,1,1,38.37,38.37,38.0,38.0,9,1,9,,,,,,,
2022-09-23 10:05:00,42.6,42.6,42.6,42.6,4,1,15,61.0,61.0,61.0,61.0,2,1,2,20.47,20.47,20.47,20.47,1,1,1,39.05,39.05,39.05,39.05,1,1,1,,,,,,,
2022-09-23 10:27:00,42.99,42.99,42.99,42.99,1,1,1,61.0,61.0,61.0,61.0,1,1,1,20.47,20.47,20.47,20.47,1,1,1,39.05,39.05,39.05,39.05,1,1,1,,,,,,,
2022-09-23 10:36:00,42.7,42.7,42.7,42.7,1,1,2,61.0,61.0,60.83,60.95,6,1,6,20.27,20.27,20.25,20.25,2,1,2,37.85,37.85,37.85,37.85,1,1,1,,,,,,,
2022-09-23 10:43:00,42.7,42.7,42.7,42.7,1,1,1,60.95,60.97,60.95,60.97,3,1,3,20.21,20.21,20.21,20.21,1,1,1,39.05,39.05,39.05,39.05,1,1,1,,,,,,,
2022-09-23 11:27:00,42.7,42.7,42.7,42.7,1,1,2,60.8,60.8,60.8,60.8,2,1,2,20.21,20.21,20.21,20.21,1,1,1,37.85,37.85,37.85,37.85,1,1,1,,,,,,,
2022-09-23 14:35:00,44.49,44.49,44.49,44.49,1,1,5,60.76,60.76,60.75,60.75,4,1,4,20.09,20.09,20.0,20.0,11,1,11,37.86,37.86,37.75,37.75,4,1,4,,,,,,,
2022-09-23 16:11:00,43.5,43.5,43.5,43.5,7,1,281,60.89,60.89,60.89,60.89,1,1,1,20.0,20.0,20.0,20.0,1,1,1,39.0,39.05,39.0,39.05,2,1,2,,,,,,,
2022-09-26 10:05:00,43.5,43.5,43.5,43.5,1,1,1,60.89,60.89,60.76,60.76,2,1,2,20.0,20.0,20.0,20.0,1,1,1,35.01,35.01,35.01,35.01,3,1,3,,,,,,,
2022-09-26 10:11:00,43.1,43.1,43.1,43.1,1,1,1,60.89,60.89,60.86,60.86,2,1,2,20.0,20.0,20.0,20.0,1,1,1,36.59,36.59,36.59,36.59,1,1,1,,,,,,,
2022-09-26 10:17:00,43.1,43.1,43.1,43.1,2,1,2,60.85,60.85,60.85,60.85,2,1,2,20.0,20.0,20.0,20.0,1,1,1,38.0,38.0,37.99,37.99,2,1,2,,,,,,,
2022-09-26 10:44:00,43.1,43.1,43.1,43.1,1,1,1,60.83,60.83,60.7,60.7,2,1,2,19.97,19.97,19.5,19.5,5,1,5,38.0,38.0,38.0,38.0,3,1,3,,,,,,,
2022-09-26 11:12:00,43.5,43.5,43.5,43.5,1,1,1,60.7,60.7,60.7,60.7,1,1,1,18.88,18.88,18.88,18.88,3,1,3,38.35,38.35,38.35,38.35,2,1,2,,,,,,,
2022-09-26 12:07:00,43.51,43.51,43.1,43.1,2,1,4,60.7,60.7,60.69,60.69,2,1,2,18.87,18.87,18.87,18.87,1,1,1,38.35,38.35,38.35,38.35,2,1,2,,,,,,,
2022-09-26 12:36:00,43.1,43.1,43.1,43.1,1,1,10,60.58,60.8,60.58,60.8,3,1,3,18.87,18.87,18.87,18.87,1,1,1,40.08,40.08,37.99,37.99,5,1,5,,,,,,,
2022-09-26 14:59:00,44.0,44.0,44.0,44.0,1,1,1,60.77,60.77,60.77,60.77,1,1,1,18.87,18.87,18.87,18.87,4,1,4,40.2,40.2,40.2,40.2,1,1,1,,,,,,,
2022-09-26 15:29:00,44.4,44.4,44.4,44.4,1,1,2,60.75,60.77,60.75,60.75,3,1,3,18.87,18.88,18.87,18.88,3,1,3,40.0,40.0,40.0,40.0,1,1,1,,,,,,,
2022-09-26 15:54:00,43.13,43.13,43.13,43.13,1,1,8,60.74,60.74,60.62,60.62,3,1,3,19.4,19.4,19.4,19.4,1,1,1,40.18,40.18,40.18,40.18,1,1,1,,,,,,,
2022-09-26 16:10:00,43.13,43.13,43.13,43.13,1,1,1,60.62,60.62,60.62,60.62,1,1,1,19.4,19.4,19.4,19.4,1,1,1,40.0,40.0,40.0,40.0,1,1,1,,,,,,,
2022-09-26 16:33:00,44.39,44.39,44.39,44.39,1,1,3,60.75,60.75,60.75,60.75,1,1,1,19.4,19.4,19.4,19.4,1,1,1,37.99,37.99,37.85,37.85,2,1,2,,,,,,,
2022-09-27 10:17:00,44.39,44.39,44.39,44.39,1,1,1,60.75,60.75,60.75,60.75,1,1,1,20.14,20.14,20.14,20.14,1,1,1,37.9,37.9,37.9,37.9,1,1,1,,,,,,,
2022-09-27 10:33:00,43.15,43.15,43.15,43.15,1,1,1,60.7,60.74,60.7,60.74,6,1,6,19.99,19.99,19.99,19.99,1,1,1,37.9,37.9,37.9,37.9,1,1,1,,,,,,,
